,Price,YearBuilt,Rooms,Bedroom2,Bathroom,Distance,Car,Postcode,Landsize,Eastern Metropolitan,Eastern Victoria,Northern Metropolitan,Northern Victoria,South-Eastern Metropolitan,Southern Metropolitan,Western Metropolitan,Western Victoria,t,u
47,725000.0,1980.0,6,6.0,3.0,13.5,2.0,3042.0,976.0,0,0,0,0,0,0,1,0,0,0
48,450000.0,2015.0,2,2.0,1.0,13.5,1.0,3042.0,110.0,0,0,0,0,0,0,1,0,1,0
49,515000.0,2013.0,2,2.0,1.0,13.5,1.0,3042.0,141.0,0,0,0,0,0,0,1,0,0,1
50,530000.0,2012.0,2,2.0,1.0,13.5,1.0,3042.0,120.0,0,0,0,0,0,0,1,0,0,1
51,895000.0,1975.0,3,3.0,1.0,13.5,6.0,3042.0,1063.0,0,0,0,0,0,0,1,0,0,0
52,805000.0,1950.0,3,3.0,1.0,13.5,1.0,3042.0,0.0,0,0,0,0,0,0,1,0,0,0
53,752000.0,1993.0,3,3.0,1.0,13.5,1.0,3042.0,265.0,0,0,0,0,0,0,1,0,0,1
56,700000.0,2009.0,3,3.0,2.0,13.5,2.0,3042.0,165.0,0,0,0,0,0,0,1,0,1,0
57,830000.0,1960.0,3,3.0,1.0,13.5,2.0,3042.0,971.0,0,0,0,0,0,0,1,0,0,0
58,462500.0,2003.0,2,2.0,1.0,13.5,1.0,3042.0,164.0,0,0,0,0,0,0,1,0,0,1
60,675000.0,1975.0,2,2.0,1.0,13.5,1.0,3042.0,612.0,0,0,0,0,0,0,1,0,0,0
61,1042000.0,1950.0,3,3.0,2.0,13.5,5.0,3042.0,612.0,0,0,0,0,0,0,1,0,0,0
63,773000.0,1980.0,4,5.0,3.0,13.5,4.0,3042.0,531.0,0,0,0,0,0,0,1,0,0,0
64,810000.0,1980.0,3,3.0,3.0,13.5,2.0,3042.0,555.0,0,0,0,0,0,0,1,0,0,0
65,715000.0,1995.0,3,3.0,2.0,13.5,2.0,3042.0,422.0,0,0,0,0,0,0,1,0,0,0
67,540000.0,2010.0,3,2.0,2.0,13.5,1.0,3042.0,161.0,0,0,0,0,0,0,1,0,1,0
68,825000.0,1960.0,3,3.0,2.0,13.5,1.0,3042.0,293.0,0,0,0,0,0,0,1,0,1,0
69,685000.0,1975.0,3,3.0,1.0,13.5,1.0,3042.0,579.0,0,0,0,0,0,0,1,0,0,0
77,900000.0,1975.0,4,4.0,2.0,13.5,3.0,3042.0,628.0,0,0,0,0,0,0,1,0,0,0
78,1275000.0,1900.0,2,2.0,1.0,3.3,0.0,3206.0,120.0,0,0,0,0,0,1,0,0,0,0
80,2850000.0,1890.0,3,3.0,2.0,3.3,0.0,3206.0,211.0,0,0,0,0,0,1,0,0,0,0
81,1850000.0,1890.0,3,3.0,2.0,3.3,0.0,3206.0,128.0,0,0,0,0,0,1,0,0,0,0
82,1436000.0,1900.0,2,2.0,1.0,3.3,0.0,3206.0,130.0,0,0,0,0,0,1,0,0,0,0
83,1110000.0,1900.0,2,1.0,1.0,3.3,0.0,3206.0,147.0,0,0,0,0,0,1,0,0,0,0
85,2300000.0,1880.0,4,4.0,2.0,3.3,1.0,3206.0,153.0,0,0,0,0,0,1,0,0,0,0
87,1800000.0,1996.0,3,3.0,2.0,3.3,1.0,3206.0,132.0,0,0,0,0,0,1,0,0,0,0
88,2120000.0,1900.0,2,2.0,1.0,3.3,1.0,3206.0,199.0,0,0,0,0,0,1,0,0,0,0
90,1800000.0,1900.0,3,3.0,2.0,3.3,1.0,3206.0,90.0,0,0,0,0,0,1,0,0,0,0
92,2615000.0,1880.0,3,3.0,2.0,3.3,1.0,3206.0,177.0,0,0,0,0,0,1,0,0,0,0
95,1370000.0,2000.0,3,3.0,2.0,3.3,2.0,3206.0,0.0,0,0,0,0,0,1,0,0,0,0
98,1322500.0,1890.0,2,2.0,1.0,3.3,0.0,3206.0,149.0,0,0,0,0,0,1,0,0,0,0
99,1562500.0,1890.0,2,2.0,1.0,3.3,0.0,3206.0,141.0,0,0,0,0,0,1,0,0,0,0
100,2000000.0,1900.0,3,3.0,2.0,3.3,1.0,3206.0,211.0,0,0,0,0,0,1,0,0,0,0
101,1900000.0,1900.0,3,3.0,1.0,3.3,0.0,3206.0,209.0,0,0,0,0,0,1,0,0,0,0
102,3010000.0,1890.0,3,3.0,2.0,3.3,0.0,3206.0,147.0,0,0,0,0,0,1,0,0,0,0
103,2800000.0,1910.0,4,4.0,3.0,3.3,1.0,3206.0,327.0,0,0,0,0,0,1,0,0,0,0
105,2100000.0,1900.0,3,2.0,1.0,3.3,1.0,3206.0,120.0,0,0,0,0,0,1,0,0,0,0
106,2000000.0,1890.0,3,3.0,1.0,3.3,1.0,3206.0,238.0,0,0,0,0,0,1,0,0,0,0
107,442500.0,1970.0,1,1.0,1.0,3.3,0.0,3206.0,0.0,0,0,0,0,0,1,0,0,0,1
108,4735000.0,1910.0,4,4.0,2.0,3.3,1.0,3206.0,330.0,0,0,0,0,0,1,0,0,0,0
113,2140000.0,1880.0,4,3.0,2.0,3.3,1.0,3206.0,183.0,0,0,0,0,0,1,0,0,0,0
115,980000.0,1890.0,2,2.0,1.0,3.3,0.0,3206.0,79.0,0,0,0,0,0,1,0,0,0,0
117,1740000.0,1890.0,3,3.0,2.0,3.3,2.0,3206.0,147.0,0,0,0,0,0,1,0,0,0,0
119,985000.0,1900.0,1,1.0,1.0,3.3,0.0,3206.0,81.0,0,0,0,0,0,1,0,0,0,0
120,2000000.0,1930.0,4,3.0,2.0,6.4,4.0,3078.0,853.0,0,0,1,0,0,0,0,0,0,0
121,1110000.0,2013.0,3,3.0,2.0,6.4,2.0,3078.0,208.0,0,0,1,0,0,0,0,0,0,0
123,1717500.0,1925.0,4,4.0,2.0,6.4,1.0,3078.0,599.0,0,0,1,0,0,0,0,0,0,0
124,2840000.0,1910.0,5,5.0,4.0,6.4,4.0,3078.0,809.0,0,0,1,0,0,0,0,0,0,0
125,525500.0,1960.0,2,2.0,1.0,6.4,1.0,3078.0,88.0,0,0,1,0,0,0,0,0,0,1
126,805000.0,2004.0,2,2.0,2.0,6.4,3.0,3078.0,155.0,0,0,1,0,0,0,0,0,1,0
131,1830000.0,1970.0,4,4.0,2.0,6.4,2.0,3078.0,606.0,0,0,1,0,0,0,0,0,0,0
132,2100000.0,2008.0,4,4.0,2.0,6.4,2.0,3078.0,575.0,0,0,1,0,0,0,0,0,0,0
133,865000.0,2010.0,3,3.0,1.0,6.4,1.0,3078.0,180.0,0,0,1,0,0,0,0,0,0,0
134,390000.0,1960.0,2,2.0,1.0,6.4,1.0,3078.0,0.0,0,0,1,0,0,0,0,0,0,1
136,512000.0,1965.0,2,2.0,1.0,6.4,1.0,3078.0,0.0,0,0,1,0,0,0,0,0,0,1
138,1900000.0,1930.0,4,4.0,2.0,6.4,2.0,3078.0,556.0,0,0,1,0,0,0,0,0,0,0
140,1950000.0,1920.0,4,4.0,2.0,6.4,3.0,3078.0,589.0,0,0,1,0,0,0,0,0,0,0
141,520000.0,2015.0,3,3.0,2.0,13.8,1.0,3018.0,352.0,0,0,0,0,0,0,1,0,0,0
142,1525000.0,2005.0,5,5.0,3.0,13.8,3.0,3018.0,729.0,0,0,0,0,0,0,1,0,0,0
143,720000.0,2013.0,2,2.0,1.0,13.8,2.0,3018.0,292.0,0,0,0,0,0,0,1,0,1,0
144,1120000.0,1930.0,3,3.0,1.0,13.8,2.0,3018.0,506.0,0,0,0,0,0,0,1,0,0,0
146,1780000.0,1962.0,4,4.0,3.0,13.8,6.0,3018.0,1057.0,0,0,0,0,0,0,1,0,0,0
147,630000.0,1955.0,3,2.0,1.0,13.8,2.0,3018.0,311.0,0,0,0,0,0,0,1,0,0,1
149,660000.0,1955.0,3,3.0,1.0,13.8,1.0,3018.0,602.0,0,0,0,0,0,0,1,0,0,0
151,580000.0,1988.0,2,2.0,1.0,13.8,1.0,3018.0,225.0,0,0,0,0,0,0,1,0,0,1
152,1335000.0,1953.0,3,3.0,1.0,13.8,4.0,3018.0,777.0,0,0,0,0,0,0,1,0,0,0
153,800000.0,1997.0,3,3.0,2.0,13.8,2.0,3018.0,280.0,0,0,0,0,0,0,1,0,1,0
154,510000.0,1990.0,2,2.0,1.0,13.8,1.0,3018.0,127.0,0,0,0,0,0,0,1,0,0,1
156,425000.0,1980.0,2,2.0,1.0,13.8,2.0,3018.0,115.0,0,0,0,0,0,0,1,0,0,1
159,391000.0,1965.0,2,2.0,1.0,13.8,1.0,3018.0,0.0,0,0,0,0,0,0,1,0,0,1
161,845000.0,1950.0,4,4.0,1.0,13.8,2.0,3018.0,745.0,0,0,0,0,0,0,1,0,0,0
163,730000.0,2014.0,3,3.0,2.0,13.8,1.0,3018.0,69.0,0,0,0,0,0,0,1,0,0,1
164,635000.0,1960.0,3,3.0,1.0,13.8,4.0,3018.0,625.0,0,0,0,0,0,0,1,0,0,0
166,447000.0,1990.0,2,2.0,1.0,13.8,1.0,3018.0,137.0,0,0,0,0,0,0,1,0,0,1
168,678000.0,1950.0,3,3.0,1.0,13.8,2.0,3018.0,606.0,0,0,0,0,0,0,1,0,0,0
169,580000.0,2013.0,2,2.0,2.0,13.8,1.0,3018.0,175.0,0,0,0,0,0,0,1,0,0,1
171,840000.0,1965.0,3,3.0,2.0,13.8,2.0,3018.0,534.0,0,0,0,0,0,0,1,0,0,0
175,577000.0,2007.0,3,3.0,2.0,13.8,1.0,3018.0,205.0,0,0,0,0,0,0,1,0,0,1
179,857000.0,1950.0,2,2.0,2.0,13.8,1.0,3018.0,675.0,0,0,0,0,0,0,1,0,0,0
181,730000.0,2014.0,3,3.0,2.0,13.8,1.0,3018.0,70.0,0,0,0,0,0,0,1,0,0,1
184,931000.0,1970.0,4,4.0,2.0,13.8,3.0,3018.0,532.0,0,0,0,0,0,0,1,0,0,0
185,535600.0,1996.0,2,2.0,1.0,13.8,1.0,3018.0,154.0,0,0,0,0,0,0,1,0,0,0
186,1085000.0,1965.0,5,5.0,3.0,11.1,6.0,3025.0,592.0,0,0,0,0,0,0,1,0,0,0
187,781000.0,1970.0,3,3.0,1.0,11.1,2.0,3025.0,533.0,0,0,0,0,0,0,1,0,0,0
189,421000.0,2009.0,2,2.0,1.0,11.1,1.0,3025.0,77.0,0,0,0,0,0,0,1,0,1,0
191,683000.0,1967.0,3,3.0,1.0,11.1,2.0,3025.0,534.0,0,0,0,0,0,0,1,0,0,0
193,720000.0,2012.0,3,3.0,2.0,11.1,1.0,3025.0,0.0,0,0,0,0,0,0,1,0,0,0
194,588000.0,1970.0,3,3.0,1.0,11.1,1.0,3025.0,328.0,0,0,0,0,0,0,1,0,0,0
195,710000.0,1960.0,3,3.0,1.0,11.1,3.0,3025.0,540.0,0,0,0,0,0,0,1,0,0,0
196,875000.0,1965.0,4,3.0,1.0,11.1,4.0,3025.0,559.0,0,0,0,0,0,0,1,0,0,0
198,640000.0,1965.0,2,2.0,1.0,11.1,1.0,3025.0,252.0,0,0,0,0,0,0,1,0,1,0
200,675000.0,2012.0,3,3.0,2.0,11.1,2.0,3025.0,171.0,0,0,0,0,0,0,1,0,0,0
201,708000.0,1960.0,3,3.0,1.0,11.1,2.0,3025.0,585.0,0,0,0,0,0,0,1,0,0,0
206,693000.0,2008.0,4,4.0,2.0,11.1,4.0,3025.0,315.0,0,0,0,0,0,0,1,0,0,0
207,620000.0,2010.0,3,5.0,2.0,11.1,2.0,3025.0,276.0,0,0,0,0,0,0,1,0,0,0
208,728500.0,1960.0,3,3.0,1.0,11.1,1.0,3025.0,531.0,0,0,0,0,0,0,1,0,0,0
209,931000.0,1950.0,3,3.0,2.0,11.1,1.0,3025.0,590.0,0,0,0,0,0,0,1,0,0,0
210,988000.0,2008.0,3,3.0,1.0,11.1,4.0,3025.0,715.0,0,0,0,0,0,0,1,0,0,0
213,815000.0,1960.0,3,3.0,2.0,11.1,3.0,3025.0,555.0,0,0,0,0,0,0,1,0,0,0
217,1200000.0,1960.0,4,4.0,1.0,11.1,4.0,3025.0,633.0,0,0,0,0,0,0,1,0,0,0
220,292000.0,1970.0,2,2.0,1.0,11.1,1.0,3025.0,153.0,0,0,0,0,0,0,1,0,0,1
221,599000.0,1964.0,2,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
223,995000.0,1998.0,3,3.0,2.0,6.3,2.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
224,1205000.0,2000.0,3,3.0,2.0,6.3,2.0,3143.0,101.0,0,0,0,0,0,1,0,0,1,0
225,1939000.0,1889.0,3,3.0,2.0,6.3,2.0,3143.0,296.0,0,0,0,0,0,1,0,0,0,0
227,1870000.0,1888.0,3,3.0,1.0,6.3,1.0,3143.0,217.0,0,0,0,0,0,1,0,0,0,0
229,1918000.0,1995.0,3,3.0,2.0,6.3,2.0,3143.0,0.0,0,0,0,0,0,1,0,0,1,0
231,2050000.0,1910.0,3,3.0,2.0,6.3,1.0,3143.0,205.0,0,0,0,0,0,1,0,0,0,0
233,3625000.0,2006.0,2,3.0,2.0,6.3,2.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
234,3000000.0,1934.0,4,4.0,2.0,6.3,2.0,3143.0,1581.0,0,0,0,0,0,1,0,0,0,0
236,735000.0,1970.0,3,3.0,2.0,6.3,1.0,3143.0,2113.0,0,0,0,0,0,1,0,0,0,1
239,645000.0,1960.0,2,3.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
240,1435000.0,1900.0,1,2.0,2.0,6.3,1.0,3143.0,144.0,0,0,0,0,0,1,0,0,0,0
241,280000.0,1975.0,1,1.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
244,592500.0,1970.0,2,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
245,1210000.0,1910.0,2,2.0,1.0,6.3,0.0,3143.0,249.0,0,0,0,0,0,1,0,0,0,0
246,2801000.0,1900.0,4,4.0,2.0,6.3,2.0,3143.0,624.0,0,0,0,0,0,1,0,0,0,0
248,1800000.0,1910.0,3,3.0,2.0,6.3,2.0,3143.0,405.0,0,0,0,0,0,1,0,0,0,0
249,2200000.0,1900.0,4,4.0,1.0,6.3,2.0,3143.0,495.0,0,0,0,0,0,1,0,0,0,0
251,5525000.0,1935.0,6,5.0,3.0,6.3,4.0,3143.0,1491.0,0,0,0,0,0,1,0,0,0,0
256,440000.0,1970.0,1,1.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
257,490000.0,1966.0,2,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
259,1300000.0,1900.0,3,2.0,1.0,6.3,2.0,3143.0,212.0,0,0,0,0,0,1,0,0,0,0
261,704000.0,1969.0,2,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
262,620000.0,1970.0,2,3.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
263,1900000.0,1900.0,3,3.0,1.0,6.3,2.0,3143.0,328.0,0,0,0,0,0,1,0,0,0,0
266,710000.0,1970.0,2,2.0,1.0,6.3,1.0,3143.0,2471.0,0,0,0,0,0,1,0,0,0,1
267,872000.0,1953.0,2,2.0,1.0,6.3,1.0,3143.0,1194.0,0,0,0,0,0,1,0,0,0,1
268,598000.0,1970.0,2,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
269,1285000.0,1920.0,3,3.0,1.0,6.3,2.0,3143.0,186.0,0,0,0,0,0,1,0,0,0,0
271,520000.0,1970.0,2,1.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
272,3625000.0,1900.0,4,4.0,1.0,6.3,2.0,3143.0,709.0,0,0,0,0,0,1,0,0,0,0
273,4200000.0,2000.0,4,4.0,3.0,6.3,3.0,3143.0,563.0,0,0,0,0,0,1,0,0,0,0
274,1101000.0,2000.0,3,3.0,1.0,6.3,2.0,3143.0,103.0,0,0,0,0,0,1,0,0,1,0
275,3512500.0,1998.0,3,3.0,2.0,6.3,2.0,3143.0,617.0,0,0,0,0,0,1,0,0,0,0
277,869000.0,1940.0,3,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
280,567000.0,2013.0,1,1.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
282,471500.0,1980.0,2,2.0,1.0,6.3,1.0,3143.0,0.0,0,0,0,0,0,1,0,0,0,1
284,940000.0,1920.0,3,3.0,1.0,5.9,2.0,3032.0,298.0,0,0,0,0,0,0,1,0,0,0
285,467000.0,1980.0,2,2.0,1.0,5.9,1.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
286,1380000.0,1910.0,3,3.0,2.0,5.9,2.0,3032.0,277.0,0,0,0,0,0,0,1,0,0,0
287,490000.0,1970.0,2,2.0,1.0,5.9,1.0,3032.0,423.0,0,0,0,0,0,0,1,0,0,1
288,1850000.0,1900.0,4,4.0,3.0,5.9,1.0,3032.0,478.0,0,0,0,0,0,0,1,0,0,0
289,1284000.0,1938.0,3,3.0,1.0,5.9,2.0,3032.0,623.0,0,0,0,0,0,0,1,0,0,0
290,971000.0,1900.0,3,3.0,2.0,5.9,2.0,3032.0,285.0,0,0,0,0,0,0,1,0,0,0
291,710000.0,1890.0,2,2.0,1.0,5.9,1.0,3032.0,214.0,0,0,0,0,0,0,1,0,0,0
292,2425000.0,1887.0,6,6.0,3.0,5.9,2.0,3032.0,1014.0,0,0,0,0,0,0,1,0,0,0
293,750000.0,1920.0,2,2.0,1.0,5.9,1.0,3032.0,226.0,0,0,0,0,0,0,1,0,0,0
294,1053000.0,1900.0,2,2.0,1.0,5.9,1.0,3032.0,269.0,0,0,0,0,0,0,1,0,0,0
295,1377000.0,1900.0,3,3.0,1.0,5.9,1.0,3032.0,417.0,0,0,0,0,0,0,1,0,0,0
296,970000.0,1904.0,3,3.0,1.0,5.9,2.0,3032.0,350.0,0,0,0,0,0,0,1,0,0,0
298,751000.0,1890.0,2,2.0,1.0,5.9,1.0,3032.0,118.0,0,0,0,0,0,0,1,0,0,0
299,950000.0,1900.0,2,2.0,1.0,5.9,1.0,3032.0,173.0,0,0,0,0,0,0,1,0,0,0
300,685000.0,1995.0,2,2.0,1.0,5.9,2.0,3032.0,228.0,0,0,0,0,0,0,1,0,0,1
301,1230000.0,1960.0,3,4.0,1.0,5.9,2.0,3032.0,594.0,0,0,0,0,0,0,1,0,0,0
304,770000.0,1900.0,2,2.0,1.0,5.9,1.0,3032.0,226.0,0,0,0,0,0,0,1,0,0,0
305,960000.0,2011.0,3,3.0,2.0,5.9,2.0,3032.0,229.0,0,0,0,0,0,0,1,0,0,0
306,890000.0,1890.0,4,4.0,1.0,5.9,1.0,3032.0,300.0,0,0,0,0,0,0,1,0,0,0
308,1440000.0,1900.0,3,3.0,1.0,5.9,1.0,3032.0,487.0,0,0,0,0,0,0,1,0,0,0
310,450000.0,2010.0,2,2.0,1.0,5.9,1.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
311,801000.0,1950.0,3,3.0,1.0,5.9,2.0,3032.0,431.0,0,0,0,0,0,0,1,0,0,0
312,1000000.0,1955.0,3,3.0,2.0,5.9,2.0,3032.0,440.0,0,0,0,0,0,0,1,0,0,0
313,1435000.0,1950.0,3,3.0,2.0,5.9,2.0,3032.0,532.0,0,0,0,0,0,0,1,0,0,0
314,390000.0,1972.0,1,1.0,1.0,5.9,1.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
315,1425000.0,1920.0,3,3.0,2.0,5.9,2.0,3032.0,495.0,0,0,0,0,0,0,1,0,0,0
316,1340000.0,1978.0,4,3.0,2.0,5.9,2.0,3032.0,683.0,0,0,0,0,0,0,1,0,0,0
317,955000.0,1910.0,3,3.0,1.0,5.9,1.0,3032.0,263.0,0,0,0,0,0,0,1,0,0,0
318,1100000.0,1920.0,4,4.0,2.0,5.9,5.0,3032.0,559.0,0,0,0,0,0,0,1,0,0,0
320,432000.0,1978.0,2,2.0,1.0,5.9,1.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
321,1640000.0,1890.0,4,4.0,3.0,5.9,2.0,3032.0,562.0,0,0,0,0,0,0,1,0,0,0
322,1430000.0,1900.0,6,4.0,2.0,5.9,1.0,3032.0,461.0,0,0,0,0,0,0,1,0,0,0
323,610000.0,1995.0,2,2.0,1.0,5.9,1.0,3032.0,301.0,0,0,0,0,0,0,1,0,0,1
324,940000.0,1950.0,3,3.0,3.0,5.9,1.0,3032.0,491.0,0,0,0,0,0,0,1,0,0,0
325,890000.0,1920.0,3,3.0,1.0,5.9,1.0,3032.0,242.0,0,0,0,0,0,0,1,0,0,0
326,1180000.0,1930.0,3,3.0,2.0,5.9,2.0,3032.0,617.0,0,0,0,0,0,0,1,0,0,0
327,1480000.0,1939.0,4,4.0,2.0,5.9,2.0,3032.0,597.0,0,0,0,0,0,0,1,0,0,0
331,865000.0,2015.0,2,2.0,2.0,5.9,1.0,3032.0,146.0,0,0,0,0,0,0,1,0,1,0
332,705000.0,1998.0,2,2.0,2.0,5.9,1.0,3032.0,113.0,0,0,0,0,0,0,1,0,1,0
333,442000.0,1975.0,2,2.0,1.0,5.9,1.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
335,1037500.0,1920.0,3,3.0,1.0,5.9,2.0,3032.0,506.0,0,0,0,0,0,0,1,0,0,0
336,1050000.0,2013.0,3,3.0,2.0,5.9,2.0,3032.0,318.0,0,0,0,0,0,0,1,0,1,0
337,440000.0,1970.0,2,2.0,1.0,5.9,1.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
339,1430000.0,1900.0,4,4.0,2.0,5.9,0.0,3032.0,418.0,0,0,0,0,0,0,1,0,0,0
343,1130000.0,1900.0,3,3.0,2.0,5.9,1.0,3032.0,272.0,0,0,0,0,0,0,1,0,0,0
344,1135000.0,1910.0,3,3.0,1.0,5.9,1.0,3032.0,296.0,0,0,0,0,0,0,1,0,0,0
345,950000.0,1920.0,4,4.0,2.0,5.9,1.0,3032.0,298.0,0,0,0,0,0,0,1,0,0,0
347,390000.0,2012.0,2,2.0,1.0,5.9,1.0,3032.0,1957.0,0,0,0,0,0,0,1,0,0,1
348,1345000.0,1920.0,4,4.0,1.0,5.9,1.0,3032.0,552.0,0,0,0,0,0,0,1,0,0,0
349,1381500.0,1900.0,3,3.0,2.0,5.9,2.0,3032.0,416.0,0,0,0,0,0,0,1,0,0,0
350,940000.0,2011.0,3,3.0,2.0,5.9,2.0,3032.0,285.0,0,0,0,0,0,0,1,0,0,0
351,995000.0,2010.0,3,3.0,2.0,5.9,1.0,3032.0,314.0,0,0,0,0,0,0,1,0,0,0
353,786000.0,1940.0,3,3.0,2.0,5.9,1.0,3032.0,576.0,0,0,0,0,0,0,1,0,0,0
354,705000.0,1910.0,2,2.0,1.0,5.9,3.0,3032.0,252.0,0,0,0,0,0,0,1,0,0,0
355,760000.0,1900.0,2,2.0,1.0,5.9,1.0,3032.0,124.0,0,0,0,0,0,0,1,0,0,0
356,487500.0,1972.0,3,3.0,1.0,5.9,3.0,3032.0,0.0,0,0,0,0,0,0,1,0,0,1
357,1000000.0,2003.0,3,3.0,2.0,5.9,2.0,3032.0,200.0,0,0,0,0,0,0,1,0,1,0
358,1110000.0,1920.0,4,4.0,2.0,5.9,1.0,3032.0,349.0,0,0,0,0,0,0,1,0,0,0
362,1305000.0,1900.0,3,2.0,1.0,5.9,1.0,3032.0,278.0,0,0,0,0,0,0,1,0,0,0
365,1215000.0,1960.0,3,3.0,1.0,5.9,1.0,3032.0,452.0,0,0,0,0,0,0,1,0,0,0
